TS: 33259367, TJ: 32249771
TS: 2290120, TJ: 1282443
TS: 1116775, TJ: 587230
TS: 1410769, TJ: 734731
TS: 1279148, TJ: 749539
TS: 1280206, TJ: 665001
TS: 2178207, TJ: 1293678
TS: 2179207, TJ: 1257524
TS: 1248582, TJ: 672192
TS: 1298742, TJ: 671957
TS: 1835980, TJ: 1148141
TS: 1053815, TJ: 613601
TS: 1101049, TJ: 629666
TS: 1011941, TJ: 609335
TS: 1147274, TJ: 707457
TS: 2138638, TJ: 1645814
TS: 1166985, TJ: 724345
TS: 1023922, TJ: 618799
TS: 1123382, TJ: 645082
TS: 1022469, TJ: 557379
TS: 1072628, TJ: 655270
TS: 1243464, TJ: 807170
TS: 1216121, TJ: 766356
TS: 1089769, TJ: 640677
TS: 1123145, TJ: 662253
TS: 1182577, TJ: 766969
TS: 1049812, TJ: 589875
TS: 1092953, TJ: 632278
TS: 1082051, TJ: 655638
TS: 1147713, TJ: 686836
TS: 1066690, TJ: 613627
TS: 1033272, TJ: 563074
TS: 1562117, TJ: 1102628
TS: 1238735, TJ: 745956
TS: 1037141, TJ: 587471
TS: 1104990, TJ: 752565
TS: 1129442, TJ: 728174
TS: 10058747, TJ: 4461129
TS: 1004970, TJ: 600301
TS: 1896560, TJ: 1154773
TS: 1185767, TJ: 682676
TS: 1207752, TJ: 703947
TS: 1030178, TJ: 565732
TS: 1119453, TJ: 708189
TS: 1081645, TJ: 691276
TS: 1101265, TJ: 673108
TS: 2302734, TJ: 1866380
TS: 1184242, TJ: 731052
TS: 1294128, TJ: 855278
TS: 1160912, TJ: 708526
TS: 1083136, TJ: 614023
TS: 1266580, TJ: 828973
TS: 18762215, TJ: 12405764
TS: 1071200, TJ: 611865
TS: 1843520, TJ: 1203591
TS: 1211470, TJ: 777401
TS: 4244591, TJ: 3668330
TS: 1120525, TJ: 631789
TS: 1882318, TJ: 1232496
TS: 1195939, TJ: 713023
TS: 1219275, TJ: 779270
TS: 1146749, TJ: 668538
TS: 1810172, TJ: 1204315
TS: 1123991, TJ: 679438
TS: 1276205, TJ: 796839
TS: 1081249, TJ: 601295
TS: 1005573, TJ: 588985
TS: 1234553, TJ: 780968
TS: 1009129, TJ: 605805
TS: 1206515, TJ: 579505
TS: 1049899, TJ: 578913
TS: 1117143, TJ: 713739
TS: 1078571, TJ: 623284
TS: 1111564, TJ: 686695
TS: 1011097, TJ: 563948
TS: 1303722, TJ: 768449
TS: 1047116, TJ: 632571
TS: 1822953, TJ: 1229468
TS: 1051955, TJ: 625009
TS: 1036041, TJ: 613545
TS: 1739109, TJ: 1159313
TS: 1780487, TJ: 1216812
TS: 1146769, TJ: 696228
TS: 1036658, TJ: 640007
TS: 1276235, TJ: 761908
TS: 2362618, TJ: 1913111
TS: 1094774, TJ: 660558
TS: 1064452, TJ: 631662
TS: 3150927, TJ: 591666
TS: 1073109, TJ: 635532
TS: 1117836, TJ: 680058
TS: 1063957, TJ: 646003
TS: 1084480, TJ: 645035
TS: 1111861, TJ: 670349
TS: 1186110, TJ: 711826
TS: 1813601, TJ: 1180382
TS: 1162070, TJ: 653214
TS: 1794089, TJ: 1200429
TS: 3689766, TJ: 590638
TS: 1055646, TJ: 640370
TS: 1006496, TJ: 564241
TS: 1157382, TJ: 708328
TS: 1856698, TJ: 1183399
TS: 1052805, TJ: 625868
TS: 1116956, TJ: 660409
TS: 1187590, TJ: 722609
TS: 1136818, TJ: 685346
TS: 1225747, TJ: 818359
TS: 958892, TJ: 564977
TS: 5018577, TJ: 4585213
TS: 1163896, TJ: 700659
TS: 1300201, TJ: 795502
TS: 3161365, TJ: 2092664
TS: 1005240, TJ: 542369
TS: 1834719, TJ: 1192601
TS: 8059828, TJ: 5746239
TS: 1015892, TJ: 588848
TS: 1100386, TJ: 689111
TS: 1042602, TJ: 628193
TS: 1880127, TJ: 1274184
TS: 1128749, TJ: 679577
TS: 1802098, TJ: 1169600
TS: 7754393, TJ: 6797026
TS: 1889584, TJ: 1230237
TS: 1038731, TJ: 617368
TS: 950459, TJ: 540046
TS: 889172, TJ: 513008
TS: 1992011, TJ: 1578273
TS: 1037462, TJ: 636842
TS: 1016495, TJ: 570328
TS: 1010004, TJ: 604558
TS: 983628, TJ: 522615
TS: 1056184, TJ: 703102
TS: 1022042, TJ: 611030
TS: 2229088, TJ: 1182712
TS: 1008170, TJ: 624260
TS: 876647, TJ: 529789
TS: 1163995, TJ: 619153
TS: 893303, TJ: 521060
TS: 981002, TJ: 567551
TS: 1024777, TJ: 651429
TS: 1001634, TJ: 557387
TS: 1643995, TJ: 1071735
TS: 999530, TJ: 644018
TS: 1019412, TJ: 650337
TS: 1079669, TJ: 649844
TS: 2278610, TJ: 1908752
TS: 996857, TJ: 616323
TS: 1097962, TJ: 682935
TS: 1073213, TJ: 645055
TS: 1271647, TJ: 798072
TS: 1713064, TJ: 1137076
TS: 1010239, TJ: 604399
TS: 976348, TJ: 594459
TS: 981710, TJ: 622285
TS: 1120913, TJ: 738808
TS: 982044, TJ: 621997
TS: 1031705, TJ: 620590
TS: 1111565, TJ: 674415
TS: 1725199, TJ: 1128224
TS: 1030728, TJ: 658088
TS: 2027895, TJ: 1356371
TS: 1084840, TJ: 670550
TS: 1059051, TJ: 653258
TS: 1014811, TJ: 580421
TS: 1778058, TJ: 1223918
TS: 959982, TJ: 569840
TS: 1113099, TJ: 743978
TS: 988248, TJ: 585928
TS: 1804153, TJ: 1197118
TS: 1787664, TJ: 1193834
TS: 1115803, TJ: 703598
TS: 1739093, TJ: 1163397
TS: 986896, TJ: 558869
TS: 1054044, TJ: 692115
TS: 1021011, TJ: 651085
TS: 1030897, TJ: 637020
TS: 1021136, TJ: 601995
TS: 969597, TJ: 594005
TS: 1705375, TJ: 1137832
TS: 19510440, TJ: 11408399
TS: 2163490, TJ: 1766483
TS: 1018405, TJ: 636952
TS: 1018462, TJ: 625745
TS: 1111431, TJ: 720546
TS: 2351508, TJ: 1551891
TS: 9169232, TJ: 7730223
