TS: 263784799, TJ: 1731198
TS: 70620249, TJ: 10497052
TS: 1575102, TJ: 615999
TS: 819563, TJ: 499606
TS: 1513469, TJ: 1096616
TS: 1058919, TJ: 662420
TS: 1325243, TJ: 998783
TS: 2212174, TJ: 1169183
TS: 1355939, TJ: 682262
TS: 920846, TJ: 553272
TS: 2600405, TJ: 1088594
TS: 712719, TJ: 433614
TS: 751998, TJ: 471782
TS: 714470, TJ: 461094
TS: 716235, TJ: 454985
TS: 876621, TJ: 436677
TS: 822123, TJ: 484688
TS: 814751, TJ: 459395
TS: 684226, TJ: 421170
TS: 626223, TJ: 362915
TS: 828987, TJ: 394786
TS: 809440, TJ: 502116
TS: 783653, TJ: 495448
TS: 940531, TJ: 497062
TS: 780131, TJ: 456750
TS: 779331, TJ: 495206
TS: 836387, TJ: 444725
TS: 865125, TJ: 464576
TS: 880649, TJ: 472504
TS: 784324, TJ: 497729
TS: 1092698, TJ: 494552
TS: 660352, TJ: 429140
TS: 1007471, TJ: 659637
TS: 1002839, TJ: 641522
TS: 761700, TJ: 475697
TS: 1128388, TJ: 661846
TS: 18288988, TJ: 11058686
TS: 12842754, TJ: 7818278
TS: 811258, TJ: 492527
TS: 1913671, TJ: 1039454
TS: 669422, TJ: 415085
TS: 750176, TJ: 516735
TS: 691221, TJ: 458828
TS: 811065, TJ: 543296
TS: 713802, TJ: 464253
TS: 648324, TJ: 381153
TS: 2034593, TJ: 1601832
TS: 992445, TJ: 659788
TS: 997236, TJ: 723375
TS: 846584, TJ: 559467
TS: 647612, TJ: 416881
TS: 803564, TJ: 569913
TS: 12449757, TJ: 9056084
TS: 631537, TJ: 406389
TS: 1759965, TJ: 1088192
TS: 1650682, TJ: 1014190
TS: 1640565, TJ: 436219
TS: 775765, TJ: 433867
TS: 1640789, TJ: 1070627
TS: 942026, TJ: 630496
TS: 763998, TJ: 501528
TS: 732086, TJ: 463643
TS: 1620056, TJ: 1095574
TS: 637369, TJ: 427073
TS: 1023615, TJ: 723751
TS: 664558, TJ: 423602
TS: 603950, TJ: 375343
TS: 902841, TJ: 589491
TS: 1568660, TJ: 991460
TS: 670053, TJ: 418460
TS: 606081, TJ: 386010
TS: 702167, TJ: 497556
TS: 754646, TJ: 451891
TS: 567076, TJ: 351478
TS: 792382, TJ: 396945
TS: 1411529, TJ: 1184554
TS: 15620907, TJ: 7697981
TS: 1519503, TJ: 945086
TS: 724915, TJ: 398606
TS: 566193, TJ: 354649
TS: 1512762, TJ: 1029570
TS: 1649505, TJ: 1216045
TS: 637751, TJ: 422841
TS: 650714, TJ: 440284
TS: 2018328, TJ: 1771876
TS: 2041077, TJ: 1452461
TS: 816095, TJ: 447321
TS: 597472, TJ: 363823
TS: 578974, TJ: 350592
TS: 756387, TJ: 453420
TS: 1008053, TJ: 780339
TS: 829810, TJ: 446396
TS: 633167, TJ: 414255
TS: 644589, TJ: 448652
TS: 901464, TJ: 531310
TS: 689722, TJ: 440535
TS: 707609, TJ: 419021
TS: 1549128, TJ: 1020292
TS: 1307301, TJ: 910381
TS: 564320, TJ: 361168
TS: 586806, TJ: 386165
TS: 683707, TJ: 459651
TS: 1414033, TJ: 934617
TS: 666316, TJ: 414865
TS: 690233, TJ: 463240
TS: 673988, TJ: 431332
TS: 667301, TJ: 451896
TS: 697834, TJ: 406312
TS: 682351, TJ: 486929
TS: 684135, TJ: 455784
TS: 676486, TJ: 457947
TS: 765380, TJ: 523084
TS: 696786, TJ: 482325
TS: 915792, TJ: 530761
TS: 1402462, TJ: 952870
TS: 615992, TJ: 406395
TS: 16508518, TJ: 14265396
TS: 1626583, TJ: 1003774
TS: 625820, TJ: 378708
TS: 1398765, TJ: 912251
TS: 807026, TJ: 470622
TS: 1308278, TJ: 910959
TS: 587995, TJ: 340858
TS: 1411361, TJ: 988265
TS: 652296, TJ: 397023
TS: 691751, TJ: 456675
TS: 686476, TJ: 380928
TS: 709316, TJ: 433439
TS: 818243, TJ: 457942
TS: 547572, TJ: 347235
TS: 652458, TJ: 449072
TS: 561389, TJ: 366359
TS: 689473, TJ: 463584
TS: 1409419, TJ: 995459
TS: 1683174, TJ: 1156234
TS: 628699, TJ: 408367
TS: 499941, TJ: 306613
TS: 1162451, TJ: 924974
TS: 1624276, TJ: 756456
TS: 707191, TJ: 513024
TS: 540823, TJ: 342241
TS: 538999, TJ: 348558
TS: 570140, TJ: 378857
TS: 1511625, TJ: 1184941
TS: 654531, TJ: 437539
TS: 674777, TJ: 464534
TS: 653379, TJ: 446192
TS: 1627322, TJ: 1323434
TS: 2162082, TJ: 827228
TS: 638207, TJ: 399175
TS: 756949, TJ: 567646
TS: 688286, TJ: 447146
TS: 1828217, TJ: 1613067
TS: 3047426, TJ: 2656434
TS: 622924, TJ: 424411
TS: 678708, TJ: 476443
TS: 1452840, TJ: 1014043
TS: 608518, TJ: 379787
TS: 1403000, TJ: 969683
TS: 1329907, TJ: 941182
TS: 609170, TJ: 391077
TS: 1598434, TJ: 1153966
TS: 883460, TJ: 566195
TS: 602286, TJ: 386328
TS: 501917, TJ: 316095
TS: 1374846, TJ: 912094
TS: 703342, TJ: 341785
TS: 1220274, TJ: 886403
TS: 683980, TJ: 417233
TS: 1579399, TJ: 988328
TS: 1351732, TJ: 918739
TS: 514539, TJ: 324783
TS: 1231482, TJ: 833615
TS: 529624, TJ: 340284
TS: 570722, TJ: 363536
TS: 623690, TJ: 419946
TS: 703530, TJ: 427602
TS: 748569, TJ: 396666
TS: 540633, TJ: 352547
TS: 1254412, TJ: 850622
TS: 710094, TJ: 512694
TS: 1733514, TJ: 1543831
TS: 655584, TJ: 443714
TS: 2765906, TJ: 2545870
TS: 674159, TJ: 480762
TS: 2065638, TJ: 1415650
TS: 6910224, TJ: 4790257
TS: 1863259, TJ: 1563516
TS: 1738123, TJ: 1325396
TS: 2078033, TJ: 1370639
TS: 2515368, TJ: 2252669
TS: 4270260, TJ: 4019995
TS: 588773, TJ: 349438
TS: 1351176, TJ: 916798
TS: 575491, TJ: 386843
TS: 633603, TJ: 436207
TS: 1365631, TJ: 944842
TS: 977952, TJ: 775865
TS: 1412986, TJ: 524627
TS: 2968986, TJ: 2575976
TS: 690322, TJ: 432758
TS: 588784, TJ: 336019
TS: 545764, TJ: 373330
TS: 1938580, TJ: 1287529
TS: 610716, TJ: 412157
TS: 526981, TJ: 348090
TS: 526564, TJ: 343881
TS: 1321211, TJ: 943753
TS: 1296574, TJ: 869810
TS: 518698, TJ: 309882
TS: 1226610, TJ: 849420
TS: 821688, TJ: 584632
TS: 1302813, TJ: 845649
TS: 605368, TJ: 414419
TS: 647746, TJ: 380154
TS: 486705, TJ: 314390
TS: 612928, TJ: 437547
TS: 2534481, TJ: 1849260
TS: 26142567, TJ: 16520748
TS: 760507, TJ: 368643
TS: 691338, TJ: 459815
TS: 570943, TJ: 398931
TS: 960302, TJ: 680299
TS: 636641, TJ: 439984
TS: 1735463, TJ: 1004813
TS: 612798, TJ: 421606
TS: 699799, TJ: 536879
TS: 725467, TJ: 501123
TS: 758949, TJ: 546645
TS: 660981, TJ: 443847
TS: 612582, TJ: 415799
TS: 749421, TJ: 500976
TS: 803001, TJ: 538895
TS: 12513217, TJ: 10753531
TS: 978435, TJ: 767241
TS: 1764899, TJ: 1344887
TS: 664898, TJ: 471787
TS: 697960, TJ: 437080
TS: 752758, TJ: 445346
TS: 534055, TJ: 389027
TS: 1703498, TJ: 1546996
TS: 506826, TJ: 326943
TS: 725172, TJ: 413725
TS: 1333601, TJ: 990902
TS: 672474, TJ: 490313
TS: 529981, TJ: 318511
TS: 577539, TJ: 409048
TS: 892291, TJ: 641705
TS: 569568, TJ: 399830
TS: 566842, TJ: 405370
TS: 540696, TJ: 370443
TS: 508122, TJ: 356206
TS: 1910421, TJ: 1399791
TS: 513336, TJ: 356357
TS: 770459, TJ: 582377
TS: 12027565, TJ: 9106770
TS: 1153317, TJ: 839215
TS: 691205, TJ: 406846
TS: 647244, TJ: 378198
TS: 628412, TJ: 407652
TS: 1275704, TJ: 957036
TS: 504325, TJ: 359165
TS: 617091, TJ: 470247
TS: 464109, TJ: 298036
TS: 11532432, TJ: 9274058
TS: 809885, TJ: 528663
TS: 523875, TJ: 364136
TS: 721719, TJ: 537066
TS: 1215902, TJ: 872400
TS: 431399, TJ: 292654
TS: 682267, TJ: 433066
TS: 653149, TJ: 438893
TS: 686439, TJ: 438463
TS: 882325, TJ: 663373
TS: 573724, TJ: 373829
TS: 639541, TJ: 443955
TS: 1366507, TJ: 931953
TS: 711514, TJ: 451780
TS: 615338, TJ: 387762
TS: 4125044, TJ: 3818270
TS: 10861456, TJ: 8745572
TS: 561545, TJ: 401947
TS: 1768699, TJ: 1579962
TS: 796479, TJ: 502683
TS: 549100, TJ: 387473
TS: 464487, TJ: 320865
TS: 1232992, TJ: 847067
TS: 540596, TJ: 393001
TS: 582338, TJ: 436616
TS: 592746, TJ: 413720
TS: 491951, TJ: 355147
TS: 2104201, TJ: 1678857
TS: 613307, TJ: 368075
TS: 1277010, TJ: 1008577
TS: 540105, TJ: 384625
TS: 571891, TJ: 356500
TS: 467993, TJ: 322423
TS: 1867932, TJ: 1666223
TS: 511509, TJ: 368610
TS: 561685, TJ: 298722
TS: 599125, TJ: 352869
TS: 508392, TJ: 361120
TS: 621319, TJ: 397561
TS: 807656, TJ: 521491
TS: 686794, TJ: 432733
TS: 490160, TJ: 316705
TS: 752342, TJ: 477427
TS: 6016634, TJ: 714066
TS: 644347, TJ: 465851
TS: 1104834, TJ: 840144
TS: 1201284, TJ: 862472
TS: 1049553, TJ: 791725
TS: 1119547, TJ: 852834
TS: 1087120, TJ: 784754
TS: 559406, TJ: 414966
TS: 1140866, TJ: 903720
TS: 1026160, TJ: 781655
TS: 1218626, TJ: 858195
TS: 508458, TJ: 334914
TS: 493019, TJ: 355569
TS: 1264226, TJ: 860508
TS: 666381, TJ: 433799
TS: 615026, TJ: 381176
TS: 538013, TJ: 313131
TS: 483260, TJ: 346763
TS: 622210, TJ: 481669
TS: 649682, TJ: 388003
TS: 715541, TJ: 478778
TS: 580784, TJ: 390907
TS: 1241060, TJ: 885740
TS: 1055412, TJ: 810502
TS: 461269, TJ: 310723
TS: 548167, TJ: 394503
TS: 503199, TJ: 350614
TS: 1312440, TJ: 1055516
TS: 520995, TJ: 351724
TS: 675720, TJ: 483934
TS: 713657, TJ: 489213
TS: 656742, TJ: 448709
TS: 444398, TJ: 308786
TS: 552997, TJ: 386247
TS: 470789, TJ: 322232
TS: 582533, TJ: 399973
TS: 755962, TJ: 532722
TS: 528783, TJ: 360099
TS: 489964, TJ: 315755
TS: 1764679, TJ: 1339526
TS: 600741, TJ: 387973
TS: 735543, TJ: 535826
TS: 476715, TJ: 320603
TS: 519711, TJ: 337463
TS: 1581563, TJ: 1220719
TS: 697560, TJ: 482120
TS: 762528, TJ: 528140
TS: 496633, TJ: 305694
TS: 601533, TJ: 416602
TS: 1031533, TJ: 811800
TS: 905166, TJ: 625626
TS: 5296757, TJ: 4268748
TS: 1104292, TJ: 821544
TS: 522712, TJ: 362110
TS: 495359, TJ: 334419
TS: 676084, TJ: 423394
TS: 531261, TJ: 361695
TS: 554917, TJ: 385921
TS: 584961, TJ: 387700
TS: 1191617, TJ: 811585
TS: 675832, TJ: 399047
TS: 2697463, TJ: 946627
TS: 687022, TJ: 392599
TS: 508372, TJ: 363996
TS: 413677, TJ: 285597
TS: 590732, TJ: 387689
TS: 1558107, TJ: 1150775
TS: 524737, TJ: 376757
TS: 515656, TJ: 388119
TS: 480557, TJ: 333414
TS: 451412, TJ: 296570
TS: 1318168, TJ: 946603
TS: 9988799, TJ: 8338164
TS: 639499, TJ: 494709
TS: 727646, TJ: 472934
TS: 704533, TJ: 520688
TS: 796577, TJ: 634787
TS: 1159362, TJ: 892068
TS: 502956, TJ: 333792
TS: 448716, TJ: 308260
TS: 567247, TJ: 410950
TS: 532911, TJ: 353973
TS: 1206466, TJ: 912786
TS: 695114, TJ: 381899
TS: 481769, TJ: 337205
TS: 528678, TJ: 369001
TS: 1261892, TJ: 944993
TS: 487874, TJ: 333922
TS: 1689273, TJ: 1553201
TS: 1113008, TJ: 849994
TS: 1090677, TJ: 799609
TS: 699270, TJ: 481215
TS: 500573, TJ: 337209
TS: 499327, TJ: 369329
TS: 494410, TJ: 352424
TS: 1315325, TJ: 880835
TS: 2052312, TJ: 1606325
