TS: 220017091, TJ: 2062246
TS: 26024770, TJ: 6136842
TS: 1459445, TJ: 624615
TS: 776798, TJ: 540518
TS: 931991, TJ: 604830
TS: 729334, TJ: 507513
TS: 4053123, TJ: 3207901
TS: 2495590, TJ: 1565444
TS: 652686, TJ: 380873
TS: 693155, TJ: 462575
TS: 2018640, TJ: 998394
TS: 841371, TJ: 483374
TS: 2201934, TJ: 1375971
TS: 704157, TJ: 479266
TS: 869693, TJ: 489070
TS: 618140, TJ: 382718
TS: 907266, TJ: 529922
TS: 725681, TJ: 515522
TS: 749736, TJ: 526252
TS: 772169, TJ: 428303
TS: 646194, TJ: 426175
TS: 779505, TJ: 533871
TS: 789719, TJ: 490426
TS: 852202, TJ: 540536
TS: 697437, TJ: 462168
TS: 617259, TJ: 390546
TS: 781942, TJ: 483910
TS: 1072921, TJ: 552409
TS: 826238, TJ: 576416
TS: 737427, TJ: 521675
TS: 691655, TJ: 426391
TS: 600817, TJ: 404458
TS: 1226666, TJ: 1008196
TS: 999401, TJ: 699945
TS: 707216, TJ: 478300
TS: 940969, TJ: 602410
TS: 880701, TJ: 645979
TS: 12526948, TJ: 7854466
TS: 713618, TJ: 488045
TS: 1819576, TJ: 1114746
TS: 698920, TJ: 468183
TS: 760938, TJ: 517122
TS: 625125, TJ: 420426
TS: 785092, TJ: 547180
TS: 787877, TJ: 477936
TS: 693670, TJ: 477740
TS: 1884168, TJ: 1682233
TS: 852331, TJ: 428032
TS: 896535, TJ: 700402
TS: 689990, TJ: 477188
TS: 671457, TJ: 471380
TS: 767717, TJ: 563462
TS: 14433201, TJ: 9828712
TS: 696976, TJ: 463017
TS: 715055, TJ: 394396
TS: 883983, TJ: 656937
TS: 736782, TJ: 501740
TS: 750141, TJ: 499033
TS: 1731845, TJ: 1078571
TS: 698611, TJ: 502015
TS: 741296, TJ: 520556
TS: 631403, TJ: 441755
TS: 1598428, TJ: 1042731
TS: 719248, TJ: 502070
TS: 675833, TJ: 447468
TS: 570152, TJ: 381561
TS: 655044, TJ: 406925
TS: 682848, TJ: 458456
TS: 604448, TJ: 401456
TS: 666573, TJ: 397019
TS: 691294, TJ: 458985
TS: 676882, TJ: 468757
TS: 626802, TJ: 427804
TS: 613848, TJ: 404513
TS: 678393, TJ: 432530
TS: 802377, TJ: 585508
TS: 13559491, TJ: 11121836
TS: 2061249, TJ: 1128408
TS: 838515, TJ: 512041
TS: 759046, TJ: 484982
TS: 611699, TJ: 411311
TS: 1564412, TJ: 1062833
TS: 849421, TJ: 568917
TS: 754050, TJ: 506461
TS: 872874, TJ: 587190
TS: 2327541, TJ: 1952360
TS: 1047877, TJ: 702142
TS: 932920, TJ: 602382
TS: 846214, TJ: 560258
TS: 762624, TJ: 548862
TS: 1085930, TJ: 732173
TS: 954159, TJ: 631011
TS: 995321, TJ: 647725
TS: 961407, TJ: 650918
TS: 750134, TJ: 529447
TS: 1892926, TJ: 1233944
TS: 745391, TJ: 505631
TS: 1615548, TJ: 1113254
TS: 1337302, TJ: 1108052
TS: 647897, TJ: 444964
TS: 674150, TJ: 450908
TS: 745473, TJ: 529393
TS: 1384197, TJ: 987657
TS: 816362, TJ: 626325
TS: 643962, TJ: 440824
TS: 931004, TJ: 714415
TS: 654200, TJ: 441991
TS: 828014, TJ: 633109
TS: 562175, TJ: 378777
TS: 656869, TJ: 461242
TS: 730437, TJ: 515131
TS: 773108, TJ: 556133
TS: 2797693, TJ: 2081378
TS: 775786, TJ: 548728
TS: 1454739, TJ: 1010070
TS: 1565883, TJ: 1141291
TS: 661507, TJ: 442609
TS: 740984, TJ: 542864
TS: 626568, TJ: 420271
TS: 1436875, TJ: 1061543
TS: 799931, TJ: 517821
TS: 1328827, TJ: 960468
TS: 2658901, TJ: 1973041
TS: 684912, TJ: 484140
TS: 588944, TJ: 403111
TS: 665474, TJ: 455887
TS: 578435, TJ: 364410
TS: 548228, TJ: 370047
TS: 2712995, TJ: 1990337
TS: 572887, TJ: 385197
TS: 764321, TJ: 555676
TS: 666189, TJ: 442854
TS: 709325, TJ: 494853
TS: 626312, TJ: 427745
TS: 1386434, TJ: 1014612
TS: 707456, TJ: 494136
TS: 563664, TJ: 390965
TS: 668445, TJ: 480482
TS: 565202, TJ: 365006
TS: 616723, TJ: 401701
TS: 624889, TJ: 423824
TS: 559952, TJ: 377732
TS: 2454490, TJ: 2046714
TS: 646228, TJ: 446906
TS: 771980, TJ: 529139
TS: 919991, TJ: 622100
TS: 1918631, TJ: 1685325
TS: 6148969, TJ: 714903
TS: 832367, TJ: 581779
TS: 705997, TJ: 485654
TS: 855328, TJ: 572343
TS: 1495904, TJ: 1095429
TS: 791173, TJ: 544741
TS: 591443, TJ: 401463
TS: 586475, TJ: 409974
TS: 891484, TJ: 630389
TS: 615399, TJ: 423122
TS: 872748, TJ: 574329
TS: 705617, TJ: 504239
