TS: 29560498, TJ: 15176411
TS: 31717582, TJ: 5319549
TS: 35033445, TJ: 2109662
TS: 37471042, TJ: 7776485
TS: 38108232, TJ: 2565568
TS: 16770107, TJ: 570436
TS: 46099543, TJ: 1068631
TS: 56132867, TJ: 1764849
TS: 49468546, TJ: 3450297
TS: 59620474, TJ: 987046
TS: 2143241, TJ: 811251
TS: 1729613, TJ: 840155
TS: 2288810, TJ: 1195577
TS: 1779365, TJ: 958372
TS: 1027342, TJ: 490479
TS: 1114582, TJ: 393073
TS: 2581651, TJ: 1035208
TS: 6191732, TJ: 4980045
TS: 3810467, TJ: 510732
TS: 83644457, TJ: 58132989
TS: 26755263, TJ: 23766939
TS: 4293176, TJ: 1899421
TS: 2997420, TJ: 734567
TS: 918454, TJ: 419702
TS: 2803914, TJ: 1711228
TS: 4598867, TJ: 804923
TS: 2836083, TJ: 1804520
TS: 1215594, TJ: 650541
TS: 8972791, TJ: 6213725
TS: 1517892, TJ: 710356
TS: 2179023, TJ: 636989
TS: 4921972, TJ: 2646349
TS: 2603697, TJ: 864320
TS: 4381100, TJ: 1468217
TS: 5521263, TJ: 3098886
TS: 8302015, TJ: 3616594
TS: 5647023, TJ: 466025
TS: 1875642, TJ: 795145
TS: 1676707, TJ: 959154
TS: 1765135, TJ: 660760
TS: 893667, TJ: 402157
TS: 3254727, TJ: 2383223
TS: 3575258, TJ: 1890181
TS: 3527179, TJ: 1452672
TS: 980063, TJ: 538918
TS: 5385988, TJ: 4490655
TS: 8367146, TJ: 5034790
TS: 3152772, TJ: 1329774
TS: 1847949, TJ: 944529
TS: 4714997, TJ: 2301377
TS: 2172208, TJ: 1084136
TS: 1852742, TJ: 751932
TS: 4853778, TJ: 3749751
TS: 1144189, TJ: 668874
TS: 1134991, TJ: 643495
TS: 860442, TJ: 415505
TS: 3950218, TJ: 1565111
TS: 7473904, TJ: 1038661
TS: 7313155, TJ: 5587861
TS: 2096594, TJ: 657818
TS: 4756073, TJ: 645871
TS: 5423925, TJ: 827437
TS: 1779236, TJ: 927571
TS: 2200941, TJ: 700248
TS: 1359023, TJ: 864472
TS: 4533832, TJ: 3334819
TS: 20589207, TJ: 5785730
TS: 2195710, TJ: 1188145
TS: 3460208, TJ: 1343707
TS: 7863933, TJ: 4799031
TS: 2018572, TJ: 969258
TS: 25352394, TJ: 19569932
TS: 2165389, TJ: 1053642
TS: 2100371, TJ: 1162836
TS: 3385736, TJ: 1481344
TS: 5470382, TJ: 1909649
TS: 1656402, TJ: 1234024
TS: 1479885, TJ: 882364
TS: 59941212, TJ: 53636319
TS: 13482899, TJ: 3671357
TS: 2910414, TJ: 1209438
TS: 7031155, TJ: 1696850
TS: 6466099, TJ: 5025563
TS: 1267389, TJ: 727806
TS: 4922752, TJ: 4017197
TS: 6267475, TJ: 4449823
TS: 5901914, TJ: 3620915
TS: 9995501, TJ: 1022870
TS: 2131716, TJ: 738022
TS: 8523723, TJ: 581595
TS: 2655319, TJ: 655571
TS: 4566000, TJ: 3948054
TS: 11173325, TJ: 4906249
TS: 2465950, TJ: 1543217
TS: 5863906, TJ: 2022467
TS: 6580560, TJ: 3395047
TS: 6328730, TJ: 4471222
TS: 1114171, TJ: 688637
TS: 4021996, TJ: 801007
TS: 1598773, TJ: 781191
TS: 2060726, TJ: 1128741
TS: 3782761, TJ: 677719
TS: 2605259, TJ: 813142
TS: 1736519, TJ: 980881
TS: 5936430, TJ: 1162563
TS: 6110989, TJ: 2519795
TS: 6173904, TJ: 5576660
TS: 23148657, TJ: 20159195
TS: 2253273, TJ: 1088442
