TS: 1444763, TJ: 1032532
TS: 976038, TJ: 702051
TS: 1406502, TJ: 1050839
TS: 1409765, TJ: 1067141
TS: 873996, TJ: 602219
TS: 1384438, TJ: 1050725
TS: 963266, TJ: 714259
TS: 1858398, TJ: 1497101
TS: 961914, TJ: 683352
TS: 927085, TJ: 684899
TS: 1055279, TJ: 766930
TS: 1401202, TJ: 1023047
TS: 1535641, TJ: 1167848
TS: 919675, TJ: 677867
TS: 1498455, TJ: 1149299
TS: 874240, TJ: 568337
TS: 974266, TJ: 718073
TS: 1488306, TJ: 1117950
TS: 940470, TJ: 701202
TS: 20815961, TJ: 18405208
TS: 4805425, TJ: 4065173
TS: 1282110, TJ: 972664
TS: 899301, TJ: 656201
TS: 1182508, TJ: 909071
TS: 858269, TJ: 542925
TS: 2997248, TJ: 2525260
TS: 795623, TJ: 559998
TS: 1021338, TJ: 736100
TS: 1062426, TJ: 801126
TS: 878355, TJ: 595904
TS: 785064, TJ: 513563
TS: 1337660, TJ: 1021081
TS: 1002101, TJ: 732657
TS: 993322, TJ: 743522
TS: 907021, TJ: 622010
TS: 963650, TJ: 703245
TS: 883021, TJ: 622707
TS: 959399, TJ: 723273
TS: 1331495, TJ: 1001194
TS: 887651, TJ: 640337
TS: 780734, TJ: 531398
TS: 854449, TJ: 529897
TS: 1722124, TJ: 1324297
TS: 993971, TJ: 693029
TS: 1009140, TJ: 717314
TS: 1445275, TJ: 1064757
TS: 905130, TJ: 623143
TS: 1511372, TJ: 1113431
TS: 1581375, TJ: 1161102
TS: 2286396, TJ: 1824867
TS: 1106293, TJ: 811031
TS: 1274460, TJ: 997644
TS: 1593270, TJ: 1223264
TS: 1043326, TJ: 758796
TS: 868222, TJ: 584436
TS: 1988644, TJ: 1555869
TS: 1149449, TJ: 811208
TS: 823483, TJ: 518297
TS: 991539, TJ: 663612
TS: 888364, TJ: 556899
TS: 835952, TJ: 558036
TS: 988514, TJ: 686679
TS: 837376, TJ: 552910
TS: 4788927, TJ: 4031956
TS: 1192447, TJ: 881007
TS: 1505327, TJ: 1110045
TS: 1229157, TJ: 901407
TS: 1759499, TJ: 1371339
TS: 1447575, TJ: 1093403
TS: 4811888, TJ: 4077091
TS: 1217752, TJ: 924192
TS: 8461962, TJ: 7304268
TS: 1152017, TJ: 854534
TS: 980522, TJ: 692401
TS: 20536156, TJ: 18173655
TS: 959919, TJ: 694606
TS: 887607, TJ: 652674
TS: 1653460, TJ: 1387063
TS: 1346913, TJ: 1028619
TS: 1401604, TJ: 1042718
TS: 1376590, TJ: 1056652
TS: 1451685, TJ: 1135595
TS: 1652159, TJ: 1302160
TS: 910448, TJ: 659931
TS: 820032, TJ: 504524
TS: 1412394, TJ: 1072659
TS: 1143324, TJ: 890484
TS: 878889, TJ: 613780
TS: 939499, TJ: 689897
TS: 902756, TJ: 580640
TS: 845374, TJ: 593133
TS: 867701, TJ: 618387
TS: 3853855, TJ: 3600580
TS: 1299677, TJ: 971951
TS: 1117322, TJ: 811922
TS: 1466240, TJ: 1148913
TS: 1303662, TJ: 1005059
TS: 2229213, TJ: 1813675
TS: 1079125, TJ: 829461
TS: 997978, TJ: 696713
TS: 1406557, TJ: 1066451
TS: 896076, TJ: 627897
TS: 1268245, TJ: 1010077
TS: 1179745, TJ: 912649
TS: 8362554, TJ: 7201573
TS: 773870, TJ: 528910
TS: 1352433, TJ: 1027449
TS: 1364750, TJ: 1036140
TS: 1389462, TJ: 1031506
TS: 1350795, TJ: 999122
TS: 1354144, TJ: 1064219
TS: 1433723, TJ: 1094985
TS: 814087, TJ: 551712
TS: 1507894, TJ: 1174088
TS: 954346, TJ: 663407
TS: 805051, TJ: 527847
