TS: 34777617, TJ: 1213653
TS: 1732001, TJ: 657511
TS: 3173008, TJ: 1901613
TS: 7144970, TJ: 844213
TS: 1446326, TJ: 531713
TS: 1610110, TJ: 1030385
TS: 2610928, TJ: 718975
TS: 2107910, TJ: 1542362
TS: 837675, TJ: 589732
TS: 896226, TJ: 584737
TS: 839738, TJ: 595917
TS: 2372336, TJ: 1023401
TS: 2254827, TJ: 1999752
TS: 1794429, TJ: 1257378
TS: 1684156, TJ: 969466
TS: 784066, TJ: 521813
TS: 932292, TJ: 684498
TS: 1721412, TJ: 1107838
TS: 936421, TJ: 647494
TS: 9885271, TJ: 2090604
TS: 16062224, TJ: 10662863
TS: 604543, TJ: 429892
TS: 968864, TJ: 704362
TS: 57461083, TJ: 35875460
TS: 632409, TJ: 419880
TS: 3260596, TJ: 2452819
TS: 569444, TJ: 372584
TS: 852716, TJ: 642766
TS: 1073262, TJ: 778994
TS: 563888, TJ: 374820
TS: 493062, TJ: 327755
TS: 1149282, TJ: 797802
TS: 740339, TJ: 580112
TS: 674806, TJ: 509846
TS: 671654, TJ: 480201
TS: 749319, TJ: 572930
TS: 614474, TJ: 407480
TS: 656730, TJ: 504115
TS: 659100, TJ: 421010
TS: 1152686, TJ: 796742
TS: 648002, TJ: 391096
TS: 471556, TJ: 319564
TS: 1527580, TJ: 1177709
TS: 566304, TJ: 412343
TS: 769508, TJ: 544648
TS: 1133039, TJ: 803909
TS: 639055, TJ: 461752
TS: 1136415, TJ: 825875
TS: 1603759, TJ: 979450
TS: 2358472, TJ: 1695233
TS: 761944, TJ: 599654
TS: 876316, TJ: 684901
TS: 1529239, TJ: 1071145
TS: 761888, TJ: 589154
TS: 810745, TJ: 548795
TS: 1886736, TJ: 1427830
TS: 844814, TJ: 627592
TS: 509730, TJ: 324712
TS: 747103, TJ: 562497
TS: 504993, TJ: 360567
TS: 620697, TJ: 448002
TS: 521301, TJ: 331635
TS: 783370, TJ: 522618
TS: 8392859, TJ: 7214415
TS: 877013, TJ: 676448
TS: 1354659, TJ: 1003600
TS: 1002800, TJ: 784093
TS: 1431589, TJ: 1132410
TS: 1139100, TJ: 852673
TS: 4314418, TJ: 971246
TS: 9710701, TJ: 5628891
TS: 846289, TJ: 668819
TS: 19404921, TJ: 17103487
TS: 718157, TJ: 533536
TS: 725709, TJ: 537438
TS: 36058034, TJ: 30740112
TS: 640356, TJ: 479677
TS: 1387830, TJ: 1170139
TS: 1377562, TJ: 963562
TS: 9667961, TJ: 1946817
TS: 10609544, TJ: 9301028
TS: 1164396, TJ: 900785
TS: 1298669, TJ: 1054658
TS: 650158, TJ: 478577
TS: 777514, TJ: 526430
TS: 1309436, TJ: 987393
TS: 875391, TJ: 694330
TS: 753353, TJ: 520362
TS: 925417, TJ: 690345
TS: 1036426, TJ: 849824
TS: 1462833, TJ: 583179
TS: 545593, TJ: 398880
TS: 6684777, TJ: 6533749
TS: 1112645, TJ: 869895
TS: 1051297, TJ: 814457
TS: 1734653, TJ: 1538654
TS: 2608932, TJ: 1169871
TS: 2456205, TJ: 1908860
TS: 1013592, TJ: 753153
TS: 1258028, TJ: 1078373
TS: 2194959, TJ: 1080127
TS: 604508, TJ: 437990
TS: 1720520, TJ: 1581815
TS: 1989155, TJ: 983377
TS: 12315502, TJ: 10584093
TS: 1233714, TJ: 914084
TS: 489824, TJ: 315176
TS: 1511111, TJ: 1074463
TS: 1093038, TJ: 798138
TS: 1102479, TJ: 957047
TS: 1033614, TJ: 791487
TS: 1269280, TJ: 964438
TS: 1457632, TJ: 563729
TS: 1821630, TJ: 1549882
TS: 947904, TJ: 675241
TS: 646527, TJ: 374427
TS: 1105493, TJ: 835379
TS: 677168, TJ: 490212
TS: 806308, TJ: 582941
TS: 938330, TJ: 771488
TS: 2180485, TJ: 843779
TS: 598098, TJ: 443349
TS: 854333, TJ: 637830
TS: 30136927, TJ: 27059978
TS: 1251745, TJ: 950956
TS: 570078, TJ: 433109
TS: 612397, TJ: 465415
TS: 1219730, TJ: 756002
TS: 1381258, TJ: 960475
TS: 617355, TJ: 473204
TS: 476626, TJ: 338324
TS: 1399409, TJ: 892985
TS: 486029, TJ: 353938
TS: 836376, TJ: 570205
TS: 971626, TJ: 847729
TS: 1932394, TJ: 1526125
TS: 516426, TJ: 374941
TS: 574747, TJ: 436116
TS: 1076564, TJ: 823097
TS: 385856, TJ: 271490
TS: 519563, TJ: 400365
TS: 1583857, TJ: 750613
TS: 653344, TJ: 509601
TS: 928371, TJ: 668228
TS: 537947, TJ: 403014
TS: 627188, TJ: 451175
TS: 1362358, TJ: 1090844
TS: 518291, TJ: 385128
TS: 1231123, TJ: 916899
TS: 758396, TJ: 601440
TS: 834206, TJ: 672506
TS: 14426286, TJ: 9427659
TS: 2295864, TJ: 1859409
TS: 1648984, TJ: 689043
TS: 2230767, TJ: 1930386
TS: 2443553, TJ: 2021273
TS: 725921, TJ: 515173
TS: 1184591, TJ: 914165
TS: 743361, TJ: 526953
TS: 991440, TJ: 747612
TS: 3153802, TJ: 2617785
TS: 1412014, TJ: 922829
TS: 2215933, TJ: 1970566
TS: 978092, TJ: 736254
TS: 1149569, TJ: 904857
TS: 1278413, TJ: 1064749
TS: 732056, TJ: 554339
