TS: 28213675, TJ: 1151305
TS: 2042021, TJ: 690787
TS: 2095106, TJ: 1146876
TS: 1465645, TJ: 910937
TS: 1071100, TJ: 589766
TS: 1780869, TJ: 1164664
TS: 1047369, TJ: 728190
TS: 2226699, TJ: 1477128
TS: 1011765, TJ: 717857
TS: 1006919, TJ: 713355
TS: 3237659, TJ: 2789259
TS: 1710206, TJ: 1121008
TS: 1771705, TJ: 1180307
TS: 844720, TJ: 471666
TS: 1806880, TJ: 1120255
TS: 1212052, TJ: 588226
TS: 880047, TJ: 659371
TS: 1718297, TJ: 1184828
TS: 984495, TJ: 683102
TS: 2824087, TJ: 845274
TS: 26700023, TJ: 16896653
TS: 49364080, TJ: 41688317
TS: 740371, TJ: 534276
TS: 1178365, TJ: 853798
TS: 824470, TJ: 528919
TS: 3444520, TJ: 2747822
TS: 650299, TJ: 445473
TS: 1073130, TJ: 758045
TS: 1090902, TJ: 803401
TS: 831825, TJ: 559721
TS: 808247, TJ: 537947
TS: 1112118, TJ: 846063
TS: 995329, TJ: 731592
TS: 1062882, TJ: 777856
TS: 1040121, TJ: 699029
TS: 652218, TJ: 460440
TS: 829431, TJ: 568741
TS: 765843, TJ: 562219
TS: 1542160, TJ: 1099109
TS: 904895, TJ: 592302
TS: 818623, TJ: 550727
TS: 667354, TJ: 431038
TS: 1742642, TJ: 1373455
TS: 1001531, TJ: 699731
TS: 1020239, TJ: 713303
TS: 1358711, TJ: 995086
TS: 748827, TJ: 516768
TS: 1331704, TJ: 1006864
TS: 2589881, TJ: 1178047
TS: 2524645, TJ: 1932649
TS: 867083, TJ: 670355
TS: 911407, TJ: 742596
TS: 4487863, TJ: 4031195
TS: 1139896, TJ: 860203
TS: 901775, TJ: 606467
TS: 2001655, TJ: 1551066
TS: 773334, TJ: 570863
TS: 535593, TJ: 358998
TS: 984375, TJ: 712020
TS: 875783, TJ: 575270
TS: 754303, TJ: 589090
TS: 560201, TJ: 368882
TS: 783135, TJ: 513051
TS: 5411929, TJ: 4392455
TS: 1175360, TJ: 893927
TS: 1725459, TJ: 1167984
TS: 1051449, TJ: 809767
TS: 1466290, TJ: 1163254
TS: 1456286, TJ: 1048411
TS: 5504925, TJ: 4404083
TS: 2417134, TJ: 697594
TS: 12629164, TJ: 10340802
TS: 926895, TJ: 737440
TS: 943891, TJ: 667618
TS: 1347074, TJ: 526412
TS: 2189443, TJ: 1399343
TS: 1338392, TJ: 1159173
TS: 34707751, TJ: 25357504
TS: 1488399, TJ: 1085176
TS: 1476021, TJ: 1134824
TS: 2926371, TJ: 2592366
TS: 2641512, TJ: 2321396
TS: 3107056, TJ: 1936601
TS: 1001616, TJ: 712227
TS: 792082, TJ: 511914
TS: 2060733, TJ: 1873608
TS: 1370731, TJ: 1124221
TS: 893981, TJ: 618355
TS: 1372518, TJ: 1164571
TS: 1811810, TJ: 744787
TS: 609671, TJ: 423305
TS: 3978922, TJ: 3747666
TS: 6512045, TJ: 2001944
TS: 1294891, TJ: 953723
TS: 1140169, TJ: 854187
TS: 2411236, TJ: 1052234
TS: 2488445, TJ: 2174051
TS: 2463748, TJ: 1913456
TS: 753942, TJ: 531435
TS: 2128234, TJ: 1886034
TS: 1258473, TJ: 958599
TS: 904029, TJ: 603225
TS: 940690, TJ: 750670
TS: 1228132, TJ: 969108
TS: 9494426, TJ: 8029835
TS: 1356006, TJ: 896314
TS: 1918853, TJ: 1616566
TS: 1482112, TJ: 1137462
TS: 1480946, TJ: 1031944
TS: 1005473, TJ: 766492
TS: 1291761, TJ: 948832
TS: 1113930, TJ: 680599
TS: 2249824, TJ: 1942277
TS: 1490836, TJ: 1136928
TS: 1032737, TJ: 674531
TS: 2994403, TJ: 574476
TS: 3405970, TJ: 1691601
TS: 858221, TJ: 596583
TS: 988782, TJ: 703432
TS: 1095530, TJ: 840095
TS: 1294907, TJ: 847582
TS: 691363, TJ: 515842
TS: 774873, TJ: 517839
TS: 33538647, TJ: 30573892
TS: 1515900, TJ: 1113127
TS: 844020, TJ: 595795
TS: 673145, TJ: 515030
TS: 1522099, TJ: 941204
TS: 2127540, TJ: 1695726
TS: 2885076, TJ: 1336191
TS: 1380972, TJ: 840548
TS: 491157, TJ: 345265
TS: 470020, TJ: 317762
TS: 889149, TJ: 608024
TS: 1404989, TJ: 1118961
TS: 1903537, TJ: 1571214
TS: 774781, TJ: 522397
TS: 943984, TJ: 678677
TS: 848034, TJ: 577708
TS: 1176171, TJ: 803607
TS: 1167942, TJ: 952267
TS: 2090509, TJ: 1089932
TS: 619942, TJ: 476801
TS: 861029, TJ: 562278
TS: 971491, TJ: 671626
TS: 692743, TJ: 529766
TS: 1614998, TJ: 1242090
TS: 889797, TJ: 610566
TS: 1435102, TJ: 1080575
TS: 734121, TJ: 517098
TS: 1168535, TJ: 882362
TS: 1569655, TJ: 1231884
TS: 12705437, TJ: 9618799
TS: 2018385, TJ: 1669167
TS: 1337652, TJ: 903316
TS: 2732460, TJ: 2174440
TS: 898308, TJ: 611545
TS: 1420185, TJ: 1062722
TS: 1053270, TJ: 734514
TS: 1384134, TJ: 746427
TS: 3054421, TJ: 2523307
TS: 1539018, TJ: 1143054
TS: 1138556, TJ: 878505
TS: 944033, TJ: 680766
TS: 690573, TJ: 504012
TS: 754365, TJ: 546471
TS: 945519, TJ: 686588
TS: 1147043, TJ: 753796
TS: 981452, TJ: 775189
TS: 5448897, TJ: 5171632
TS: 3693364, TJ: 3502323
TS: 1724704, TJ: 1339460
TS: 636523, TJ: 473773
TS: 670504, TJ: 405937
TS: 5102612, TJ: 4856403
TS: 557278, TJ: 415991
TS: 775367, TJ: 518088
TS: 1279935, TJ: 1000632
TS: 933465, TJ: 761837
TS: 2139402, TJ: 1907909
TS: 597666, TJ: 448338
TS: 1643914, TJ: 1373666
TS: 695222, TJ: 446833
TS: 681999, TJ: 492336
TS: 2119261, TJ: 1873418
TS: 567032, TJ: 388925
TS: 1044561, TJ: 760308
TS: 940604, TJ: 684219
TS: 1774099, TJ: 1404188
TS: 1069070, TJ: 858876
TS: 1973189, TJ: 540123
TS: 755246, TJ: 528709
TS: 684428, TJ: 458857
TS: 923143, TJ: 662873
TS: 1146308, TJ: 879188
TS: 2582548, TJ: 810479
TS: 1724178, TJ: 1185771
TS: 3983448, TJ: 3540395
TS: 2478726, TJ: 1910746
TS: 2398650, TJ: 1989766
TS: 2835559, TJ: 413927
TS: 869990, TJ: 592254
TS: 972036, TJ: 762039
TS: 882079, TJ: 614484
TS: 1354277, TJ: 1172060
TS: 2255354, TJ: 1066585
TS: 929472, TJ: 630643
TS: 853682, TJ: 579739
TS: 913197, TJ: 661720
TS: 969764, TJ: 818492
TS: 1698420, TJ: 452162
TS: 697839, TJ: 484992
TS: 946955, TJ: 661666
TS: 1410383, TJ: 1060372
TS: 2121410, TJ: 1717774
TS: 2131356, TJ: 1011061
TS: 1196657, TJ: 917562
TS: 1367819, TJ: 1031518
TS: 1067436, TJ: 788181
TS: 757925, TJ: 615157
TS: 530719, TJ: 374389
TS: 619990, TJ: 482932
TS: 1091575, TJ: 821711
TS: 1845084, TJ: 1389836
TS: 1337038, TJ: 914439
TS: 4208505, TJ: 3650468
TS: 685513, TJ: 453763
TS: 881214, TJ: 587287
TS: 2393465, TJ: 1925772
TS: 2392335, TJ: 1911723
TS: 1455956, TJ: 1235680
TS: 1084657, TJ: 739131
TS: 10606183, TJ: 9489051
TS: 4040970, TJ: 3447570
TS: 873006, TJ: 717426
TS: 1119743, TJ: 851312
TS: 1219648, TJ: 978174
TS: 1404179, TJ: 1069083
TS: 1797886, TJ: 762667
TS: 2226304, TJ: 1994526
TS: 3558756, TJ: 3222604
TS: 1137245, TJ: 930917
TS: 1011822, TJ: 798501
TS: 777119, TJ: 520246
TS: 2529733, TJ: 2104502
TS: 714861, TJ: 511628
TS: 2716802, TJ: 2228204
TS: 1577100, TJ: 1195188
TS: 1514101, TJ: 1003550
TS: 3006677, TJ: 2589821
TS: 611264, TJ: 419910
TS: 446927, TJ: 301956
TS: 509350, TJ: 364122
TS: 1204707, TJ: 915451
TS: 980523, TJ: 702778
TS: 4968797, TJ: 3328305
TS: 1926957, TJ: 1521500
TS: 1484787, TJ: 1103157
TS: 1416564, TJ: 1049567
TS: 2024246, TJ: 1010992
TS: 2632967, TJ: 2015017
TS: 2709721, TJ: 1251245
TS: 580472, TJ: 346924
TS: 1397127, TJ: 1022162
TS: 928103, TJ: 684128
TS: 1085175, TJ: 801176
TS: 582775, TJ: 401116
TS: 879196, TJ: 582777
TS: 896249, TJ: 603835
TS: 1398184, TJ: 978723
TS: 1382400, TJ: 516541
TS: 5200115, TJ: 4767215
TS: 3494736, TJ: 2208359
TS: 876890, TJ: 587509
TS: 991661, TJ: 699409
TS: 680986, TJ: 512362
TS: 1918319, TJ: 845008
TS: 1797470, TJ: 1379668
TS: 875435, TJ: 564108
TS: 613311, TJ: 451590
TS: 557813, TJ: 366204
TS: 1262271, TJ: 338201
TS: 469279, TJ: 300586
TS: 870953, TJ: 582913
TS: 985181, TJ: 661592
TS: 503942, TJ: 338122
TS: 4204290, TJ: 3651205
TS: 695054, TJ: 500624
TS: 833129, TJ: 564034
TS: 569193, TJ: 431617
TS: 632872, TJ: 463688
TS: 597037, TJ: 336573
TS: 4564729, TJ: 4368668
TS: 1103793, TJ: 812202
TS: 850214, TJ: 615135
TS: 835775, TJ: 466514
TS: 1833514, TJ: 573727
TS: 1064754, TJ: 857435
TS: 973513, TJ: 651253
TS: 934985, TJ: 773983
TS: 1015623, TJ: 766784
TS: 3850787, TJ: 3522324
TS: 4643870, TJ: 489207
TS: 858729, TJ: 580801
TS: 811366, TJ: 576022
TS: 2020953, TJ: 726774
TS: 582203, TJ: 417029
TS: 3881938, TJ: 3332489
TS: 900905, TJ: 645564
TS: 1159792, TJ: 735927
TS: 2477610, TJ: 2138219
TS: 2176579, TJ: 806803
TS: 4992218, TJ: 773022
TS: 4846340, TJ: 4119268
TS: 1385618, TJ: 1061104
TS: 1343714, TJ: 1121658
TS: 1648233, TJ: 1421126
TS: 2705104, TJ: 427829
TS: 1426826, TJ: 1083629
TS: 1034891, TJ: 780452
TS: 2138226, TJ: 1821654
TS: 4013282, TJ: 3600561
TS: 4824108, TJ: 463683
TS: 848527, TJ: 561644
TS: 1026662, TJ: 761900
TS: 539652, TJ: 379366
TS: 1472318, TJ: 557915
TS: 2857657, TJ: 824465
TS: 1354618, TJ: 1014839
TS: 878439, TJ: 680298
TS: 1203993, TJ: 913681
TS: 2543565, TJ: 2319034
TS: 971305, TJ: 731528
TS: 1356707, TJ: 986496
TS: 1126583, TJ: 869114
TS: 443273, TJ: 299439
TS: 504031, TJ: 344701
TS: 579670, TJ: 419969
TS: 1430567, TJ: 1073274
TS: 1171779, TJ: 902062
TS: 1095093, TJ: 849634
TS: 1894071, TJ: 1527301
TS: 3758461, TJ: 1224742
TS: 1098748, TJ: 831910
TS: 1849082, TJ: 1411223
TS: 574031, TJ: 398351
TS: 1085497, TJ: 844442
TS: 4295101, TJ: 3924030
TS: 908356, TJ: 648464
TS: 1126722, TJ: 867895
TS: 735128, TJ: 561008
TS: 624613, TJ: 429836
TS: 1561516, TJ: 1335706
TS: 1438733, TJ: 1042912
TS: 879672, TJ: 579522
TS: 547271, TJ: 375179
TS: 1708453, TJ: 753063
TS: 569983, TJ: 314714
TS: 1298044, TJ: 985771
TS: 3994632, TJ: 3576450
TS: 4784743, TJ: 663432
TS: 1528869, TJ: 1353705
TS: 18536506, TJ: 16439125
TS: 4716796, TJ: 4015632
TS: 937377, TJ: 689778
TS: 574554, TJ: 423972
TS: 2221443, TJ: 1848671
TS: 6014512, TJ: 3464403
TS: 1106839, TJ: 809846
TS: 519691, TJ: 357670
TS: 2587473, TJ: 2219286
TS: 1374756, TJ: 1099804
TS: 23322717, TJ: 19249942
TS: 1074367, TJ: 842557
TS: 622168, TJ: 473931
TS: 1956771, TJ: 1743929
TS: 633743, TJ: 439264
TS: 1540501, TJ: 1251111
TS: 2573305, TJ: 2132720
TS: 981529, TJ: 781210
TS: 3508883, TJ: 2888025
TS: 1400966, TJ: 1125099
TS: 1021205, TJ: 810521
TS: 1976926, TJ: 1562696
TS: 1176466, TJ: 627082
TS: 4300821, TJ: 1036879
TS: 4269812, TJ: 3623683
TS: 905231, TJ: 659600
TS: 1144256, TJ: 881332
TS: 630966, TJ: 485314
TS: 1202285, TJ: 934390
TS: 1484610, TJ: 1218229
TS: 2219800, TJ: 1024650
TS: 3002873, TJ: 1578027
TS: 3786959, TJ: 387427
TS: 5324492, TJ: 481473
TS: 1915459, TJ: 1019992
TS: 1062144, TJ: 783684
TS: 1047904, TJ: 808698
TS: 1034585, TJ: 823571
TS: 664181, TJ: 520693
TS: 1080222, TJ: 776935
TS: 818506, TJ: 536263
TS: 637733, TJ: 461790
TS: 1427430, TJ: 1290581
TS: 1445771, TJ: 1155374
TS: 700806, TJ: 471736
TS: 960343, TJ: 655430
TS: 662745, TJ: 509858
TS: 792779, TJ: 605471
TS: 689793, TJ: 457968
TS: 1268986, TJ: 973718
TS: 1320556, TJ: 1002943
TS: 2104648, TJ: 1726891
TS: 1186436, TJ: 515692
TS: 3262603, TJ: 2243619
TS: 1644304, TJ: 1285327
TS: 758266, TJ: 497991
TS: 747986, TJ: 487710
TS: 1191494, TJ: 889138
TS: 702674, TJ: 485282
TS: 3079013, TJ: 2771639
TS: 1646999, TJ: 1181980
TS: 911448, TJ: 660343
TS: 2651107, TJ: 1241211
TS: 8605727, TJ: 8108441
TS: 1012051, TJ: 705607
TS: 988308, TJ: 699328
TS: 1248921, TJ: 935775
TS: 3678931, TJ: 3443762
TS: 1434005, TJ: 1153769
TS: 2983808, TJ: 1030562
TS: 1481579, TJ: 1078331
TS: 2670582, TJ: 753982
TS: 6474476, TJ: 6236803
TS: 2363290, TJ: 1895472
TS: 24211593, TJ: 21989090
TS: 1341893, TJ: 1043351
TS: 618055, TJ: 423238
TS: 1279335, TJ: 975166
TS: 878796, TJ: 656395
TS: 802743, TJ: 662167
TS: 761946, TJ: 567471
TS: 2186048, TJ: 891230
TS: 904493, TJ: 755062
TS: 904737, TJ: 667284
TS: 897062, TJ: 619189
TS: 943090, TJ: 747908
TS: 1422641, TJ: 1102498
TS: 833950, TJ: 614180
TS: 594412, TJ: 433585
TS: 2266603, TJ: 1852068
TS: 1239263, TJ: 1002441
TS: 804233, TJ: 626583
TS: 1768449, TJ: 1620669
TS: 1713599, TJ: 1368716
TS: 777236, TJ: 589206
TS: 749046, TJ: 550835
TS: 21981405, TJ: 19586417
TS: 3785787, TJ: 3609798
TS: 1080071, TJ: 755862
TS: 4070252, TJ: 3823624
TS: 527125, TJ: 373721
TS: 3164051, TJ: 2816768
TS: 4501930, TJ: 846987
TS: 888681, TJ: 579030
TS: 8247162, TJ: 7179833
TS: 1618527, TJ: 1383990
TS: 1364115, TJ: 1021463
TS: 771953, TJ: 575350
TS: 2681387, TJ: 2202300
TS: 1789471, TJ: 1412597
TS: 1784314, TJ: 1451500
TS: 2393305, TJ: 2027163
TS: 3716067, TJ: 3483255
TS: 912833, TJ: 666843
TS: 955184, TJ: 663367
TS: 1078848, TJ: 824372
TS: 1396578, TJ: 1048192
TS: 3772882, TJ: 3530084
TS: 863126, TJ: 594338
TS: 1404983, TJ: 1068020
TS: 1382939, TJ: 1055601
TS: 666524, TJ: 506851
TS: 4742578, TJ: 4586251
TS: 2799597, TJ: 2298179
TS: 1249605, TJ: 957318
TS: 1835911, TJ: 1514214
TS: 923561, TJ: 666116
TS: 1279368, TJ: 983034
TS: 3861504, TJ: 3626957
TS: 888885, TJ: 640879
TS: 1031856, TJ: 871819
TS: 2102493, TJ: 1864679
TS: 968661, TJ: 821371
TS: 3899956, TJ: 3629900
TS: 618047, TJ: 437294
TS: 687829, TJ: 476333
TS: 1258997, TJ: 956322
TS: 1055745, TJ: 712487
TS: 878838, TJ: 640335
TS: 21185304, TJ: 18717962
TS: 1130332, TJ: 904416
TS: 1829233, TJ: 343559
TS: 2149836, TJ: 1836733
TS: 858751, TJ: 663437
TS: 1740461, TJ: 392584
TS: 839805, TJ: 616972
TS: 716168, TJ: 518253
TS: 1225527, TJ: 921353
TS: 18977791, TJ: 16635583
TS: 984675, TJ: 794848
TS: 746428, TJ: 611401
TS: 3324167, TJ: 1858290
TS: 715983, TJ: 547543
TS: 2745608, TJ: 2381372
TS: 2140369, TJ: 1729470
TS: 661139, TJ: 497907
TS: 647453, TJ: 497137
TS: 804901, TJ: 592700
TS: 1786627, TJ: 1632381
TS: 7179712, TJ: 6776106
TS: 20218226, TJ: 18063936
TS: 780865, TJ: 507596
TS: 1518523, TJ: 1299589
TS: 984079, TJ: 782744
TS: 917894, TJ: 726169
TS: 640338, TJ: 458442
TS: 19056428, TJ: 16936457
TS: 728935, TJ: 535817
TS: 963006, TJ: 715830
TS: 1797741, TJ: 386760
TS: 953326, TJ: 718152
TS: 1011994, TJ: 779599
TS: 632163, TJ: 479397
TS: 1758656, TJ: 1578680
TS: 1283421, TJ: 977534
TS: 757116, TJ: 464151
TS: 1249934, TJ: 977186
TS: 4029081, TJ: 3784530
TS: 1435862, TJ: 997303
TS: 558965, TJ: 385531
TS: 2231392, TJ: 1884857
TS: 3281037, TJ: 2995787
TS: 768376, TJ: 632719
TS: 1587556, TJ: 1424830
TS: 1276547, TJ: 1006461
TS: 5155495, TJ: 4431629
TS: 1364507, TJ: 1031109
TS: 910810, TJ: 672907
TS: 738495, TJ: 590744
TS: 1134082, TJ: 869283
TS: 1264925, TJ: 1020548
TS: 2701559, TJ: 2366000
TS: 566218, TJ: 423931
TS: 1844775, TJ: 1644271
TS: 1218317, TJ: 925131
TS: 1587808, TJ: 1182669
TS: 1276323, TJ: 1000588
TS: 1409201, TJ: 681459
TS: 1064343, TJ: 655096
TS: 24772740, TJ: 18718065
TS: 855134, TJ: 640829
TS: 4797696, TJ: 3485368
TS: 1940007, TJ: 1633072
TS: 5588553, TJ: 3290569
TS: 795698, TJ: 596728
TS: 737565, TJ: 550320
TS: 2476656, TJ: 2188177
TS: 770495, TJ: 577817
TS: 2115384, TJ: 814344
TS: 2322321, TJ: 1512700
TS: 2434062, TJ: 2212678
TS: 8172095, TJ: 3715542
TS: 620887, TJ: 478784
TS: 3947231, TJ: 3253973
TS: 1702216, TJ: 906427
TS: 2145959, TJ: 1931687
TS: 3486391, TJ: 3206735
TS: 864849, TJ: 584789
TS: 573857, TJ: 431596
TS: 1493987, TJ: 1185113
TS: 4599267, TJ: 4167225
TS: 2472335, TJ: 2176787
TS: 588275, TJ: 413301
TS: 798396, TJ: 645349
TS: 938660, TJ: 767996
TS: 2567793, TJ: 1586795
TS: 4642015, TJ: 3313139
TS: 1320985, TJ: 1104431
TS: 4575356, TJ: 3844922
TS: 1373037, TJ: 1017049
TS: 983441, TJ: 784321
TS: 1768197, TJ: 482334
TS: 3604502, TJ: 3457251
TS: 589070, TJ: 427979
TS: 824136, TJ: 568213
TS: 515948, TJ: 326839
TS: 2057899, TJ: 1788225
TS: 899357, TJ: 649701
TS: 1098069, TJ: 865110
TS: 1276485, TJ: 995180
TS: 1010398, TJ: 814171
TS: 4845011, TJ: 4626277
TS: 758155, TJ: 566333
